[WESI][6][16-07-2023 3.57.25 PM][57445203.8917][SMDT]Task.Delay(15031).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.26 PM][57446212.1972][SMDT]Task.Delay(1008).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][8][16-07-2023 3.57.26 PM][57446302.9538][SMDT]Task.Delay(90).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][8][16-07-2023 3.57.26 PM][57446306.9427][SMDT]Task.Delay(4).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][6][16-07-2023 3.57.27 PM][57447220.5014][SMDT]Task.Delay(912).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][6][16-07-2023 3.57.27 PM][57447247.4318][SMDT]Task.Delay(27).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][10][16-07-2023 3.57.27 PM][57447318.2421][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][9][16-07-2023 3.57.27 PM][57447397.0303][SMDT]Task.Delay(79).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.27 PM][57447398.0268][SMDT]Task.Delay(0).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.27 PM][57447399.024][SMDT]Task.Delay(0).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.27 PM][57447442.907][SMDT]Task.Delay(43).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.27 PM][57447443.9063][SMDT]Task.Delay(0).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.27 PM][57447553.612][SMDT]Task.Delay(108).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.28 PM][57448151.0153][SMDT]Task.Delay(597).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][8][16-07-2023 3.57.28 PM][57448309.5913][SMDT]Task.Delay(159).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][10][16-07-2023 3.57.28 PM][57448414.3126][SMDT]Task.Delay(103).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.28 PM][57448478.1408][SMDT]Task.Delay(64).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.29 PM][57449280.9944][SMDT]Task.Delay(802).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][10][16-07-2023 3.57.29 PM][57449334.8506][SMDT]Task.Delay(53).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.29 PM][57449836.5106][SMDT]Task.Delay(500).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.30 PM][57450237.4386][SMDT]Task.Delay(400).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][6][16-07-2023 3.57.31 PM][57451120.0789][SMDT]Task.Delay(875).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][9][16-07-2023 3.57.31 PM][57451169.9456][SMDT]Task.Delay(52).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.31 PM][57451586.8328][SMDT]Task.Delay(416).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.31 PM][57451961.8297][SMDT]Task.Delay(375).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.32 PM][57452008.7055][SMDT]Task.Delay(44).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.32 PM][57452015.6878][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.32 PM][57452084.5007][SMDT]Task.Delay(68).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][8][16-07-2023 3.57.32 PM][57452091.4827][SMDT]Task.Delay(9).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][6][16-07-2023 3.57.32 PM][57452161.296][SMDT]Task.Delay(67).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.32 PM][57452958.167][SMDT]Task.Delay(794).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][9][16-07-2023 3.57.33 PM][57453035.9589][SMDT]Task.Delay(78).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][9][16-07-2023 3.57.33 PM][57453052.9136][SMDT]Task.Delay(13).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][8][16-07-2023 3.57.33 PM][57453253.3775][SMDT]Task.Delay(197).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.33 PM][57453429.9059][SMDT]Task.Delay(182).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.57.33 PM][57453987.4165][SMDT]Task.Delay(556).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][6][16-07-2023 3.57.34 PM][57454217.8031][SMDT]Task.Delay(230).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][9][16-07-2023 3.57.34 PM][57454747.3823][SMDT]Task.Delay(533).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][8][16-07-2023 3.57.35 PM][57455337.8043][SMDT]Task.Delay(589).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.57.35 PM][57455704.8258][SMDT]Task.Delay(365).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][6][16-07-2023 3.57.35 PM][57455910.2778][SMDT]Task.Delay(205).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.35 PM][57455917.2581][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456343.1205][SMDT]Task.Delay(421).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456644.3166][SMDT]Task.Delay(303).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.36 PM][57456675.2309][SMDT]Task.Delay(23).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456746.0431][SMDT]Task.Delay(77).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456758.0111][SMDT]Task.Delay(10).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456955.4812][SMDT]Task.Delay(201).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457025.2944][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][10][16-07-2023 3.57.37 PM][57457244.71][SMDT]Task.Delay(215).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457386.3311][SMDT]Task.Delay(135).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457396.3047][SMDT]Task.Delay(12).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.37 PM][57457557.8733][SMDT]Task.Delay(165).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457628.6835][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.37 PM][57457719.4401][SMDT]Task.Delay(87).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457859.0685][SMDT]Task.Delay(142).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
